chart_id,category,title,label,value,unit,evidence,note
AUTH-01,Authorization,Authorization by country,DE,92.41768292682927,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,FR,93.5130186098344,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,NL,93.6381829955471,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,ES,92.58162464344454,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,IT,92.62263706499034,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,AT,93.62030413957104,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,BE,93.59668200911209,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,IE,93.60182501130465,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,FI,93.53551912568306,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-01,Authorization,Authorization by country,PT,93.64480772806067,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-02,Authorization,Authorization by device,mobile,92.7564852847267,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-02,Authorization,Authorization by device,desktop,93.65773538163157,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-03,Authorization,Authorization by payment method,visa,92.40945317275695,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-03,Authorization,Authorization by payment method,mastercard,92.4261415425574,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-03,Authorization,Authorization by payment method,paypal,94.71274402529449,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-03,Authorization,Authorization by payment method,sepa_debit,94.28341734095742,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-04,Authorization,Authorization by processor,PSP_A,93.4834862288976,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-04,Authorization,Authorization by processor,PSP_B,92.74010902991484,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-04,Authorization,Authorization by processor,PSP_C,92.62763090531279,%,SYNTHETIC,Canonical 300k seeded merchant environment
AUTH-05,Authorization,Germany processor screen,PSP_A,93.03012404016539,%,SYNTHETIC / OBSERVATIONAL,Raw country x processor comparison; not causal
AUTH-05,Authorization,Germany processor screen,PSP_B,89.30619266055046,%,SYNTHETIC / OBSERVATIONAL,Raw country x processor comparison; not causal
AUTH-05,Authorization,Germany processor screen,PSP_C,93.43201542912247,%,SYNTHETIC / OBSERVATIONAL,Raw country x processor comparison; not causal
DECL-01,Declines,Decline taxonomy,insufficient_funds,6476,count,SYNTHETIC,Canonical seeded declines
DECL-01,Declines,Decline taxonomy,do_not_honor,5602,count,SYNTHETIC,Canonical seeded declines
DECL-01,Declines,Decline taxonomy,authentication_failed,4584,count,SYNTHETIC,Canonical seeded declines
DECL-01,Declines,Decline taxonomy,invalid_account,2433,count,SYNTHETIC,Canonical seeded declines
DECL-01,Declines,Decline taxonomy,lost_or_stolen,1612,count,SYNTHETIC,Canonical seeded declines
DECL-02,Declines,Decline mix share,insufficient_funds,31.27541314531318,%,SYNTHETIC,Share of seeded declines
DECL-02,Declines,Decline mix share,do_not_honor,27.05268749601584,%,SYNTHETIC,Share of seeded declines
DECL-02,Declines,Decline mix share,authentication_failed,22.13744144492104,%,SYNTHETIC,Share of seeded declines
DECL-02,Declines,Decline mix share,invalid_account,11.749649876853238,%,SYNTHETIC,Share of seeded declines
DECL-02,Declines,Decline mix share,lost_or_stolen,7.784808036896701,%,SYNTHETIC,Share of seeded declines
DECL-03,Declines,Decline share by device,mobile,7.243514715273303,%,SYNTHETIC,Declines / attempts on device
DECL-03,Declines,Decline share by device,desktop,6.342264618368434,%,SYNTHETIC,Declines / attempts on device
DECL-04,Declines,Decline share by market,DE,7.582317073170732,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,FR,6.486981390165598,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,NL,6.3618170044529,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,ES,7.418375356555463,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,IT,7.37736293500966,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,AT,6.379695860428966,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,BE,6.403317990887911,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,IE,6.39817498869535,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,FI,6.46448087431694,%,SYNTHETIC,Declines / attempts by market
DECL-04,Declines,Decline share by market,PT,6.35519227193933,%,SYNTHETIC,Declines / attempts by market
3DS-01,3DS / Authentication,Card authorization by 3DS flag,3DS,91.19560072057233,%,SYNTHETIC,Selected card populations; descriptive only
3DS-01,3DS / Authentication,Card authorization by 3DS flag,no_3DS,94.03053003580422,%,SYNTHETIC,Selected card populations; descriptive only
3DS-02,3DS / Authentication,Mobile card authorization by 3DS flag,3DS,90.15348384609533,%,SYNTHETIC,Selected population; not treatment effect
3DS-02,3DS / Authentication,Mobile card authorization by 3DS flag,no_3DS,94.05302594016003,%,SYNTHETIC,Selected population; not treatment effect
3DS-03,3DS / Authentication,Desktop card authorization by 3DS flag,3DS,92.92160337552743,%,SYNTHETIC,Selected population; not treatment effect
3DS-03,3DS / Authentication,Desktop card authorization by 3DS flag,no_3DS,93.9939458888042,%,SYNTHETIC,Selected population; not treatment effect
3DS-04,3DS / Authentication,Stripe executed test states,success,1,executed,PROVIDER TEST,Redacted provider-test record retained
3DS-04,3DS / Authentication,Stripe executed test states,generic_decline,1,executed,PROVIDER TEST,Redacted provider-test record retained
3DS-04,3DS / Authentication,Stripe executed test states,insufficient_funds,1,executed,PROVIDER TEST,Redacted provider-test record retained
3DS-04,3DS / Authentication,Stripe executed test states,requires_action,1,executed,PROVIDER TEST,Redacted provider-test record retained
RETRY-01,Retries,Attempts per payment intent,1 attempt,28469,count,SYNTHETIC,Seeded retry cohort
RETRY-01,Retries,Attempts per payment intent,2 attempts,1316,count,SYNTHETIC,Seeded retry cohort
RETRY-01,Retries,Attempts per payment intent,3 attempts,215,count,SYNTHETIC,Seeded retry cohort
RETRY-02,Retries,Attempt vs intent denominator,attempt authorization,87.12593712593713,%,SYNTHETIC,Attempt-weighted authorization
RETRY-02,Retries,Attempt vs intent denominator,intent resolution,92.19666666666667,%,SYNTHETIC,Unique payment-intent resolution
RETRY-02,Retries,Attempt vs intent denominator,economic value resolution,92.17844088926843,%,SYNTHETIC,Resolved value / attempted value
RETRY-03,Retries,Retry success by original decline,insufficient_funds,37.83050847457627,%,SYNTHETIC,Seeded retry cohort
RETRY-03,Retries,Retry success by original decline,do_not_honor,39.02439024390244,%,SYNTHETIC,Seeded retry cohort
RETRY-03,Retries,Retry success by original decline,authentication_failed,38.11188811188811,%,SYNTHETIC,Seeded retry cohort
RETRY-03,Retries,Retry success by original decline,invalid_account,6.666666666666667,%,SYNTHETIC,Seeded retry cohort
RETRY-03,Retries,Retry success by original decline,lost_or_stolen,0.0,%,SYNTHETIC,Seeded retry cohort
RETRY-04,Retries,Retry volume and resolution,extra retry attempts,1746,count,SYNTHETIC,Attempts beyond one per intent
RETRY-04,Retries,Retry volume and resolution,multi-attempt intents,1531,count,SYNTHETIC,Unique intents with >1 attempt
RETRY-04,Retries,Retry volume and resolution,resolved intents,27659,count,SYNTHETIC,Unique resolved intents
ROUTE-01,Routing,Germany raw routing comparison,PSP_A,93.03012404016539,%,SYNTHETIC / OBSERVATIONAL,372.39 bps PSP_A vs PSP_B raw gap
ROUTE-01,Routing,Germany raw routing comparison,PSP_B,89.30619266055046,%,SYNTHETIC / OBSERVATIONAL,372.39 bps PSP_A vs PSP_B raw gap
ROUTE-02,Routing,Randomized routing experiment,control,89.40331271203353,%,RANDOMIZED SYNTHETIC,Separate 40k randomized experiment
